,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist_Pass,PrgDist_Pass,Cmp_Shrt,Att_Shrt,Cmp%_Shrt,Cmp_Med,Att_Med,Cmp%_Med,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3_Pass,PPA,CrsPA,PrgP,Live_Pass,Dead,FK_Pass,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd_Tkls,Mid 3rd_Tkls,Att 3rd_Tkls,Tkl_Chl,Att_Chl,Tkl%,Lost,Blocks_Def,Blocks_Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_Tch,Mid 3rd_Tch,Att 3rd_Tch,Att Pen,Live_Tch,Att_TakeOns,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_Carr,PrgDist_Carr,PrgC,1/3_Carr,CPA,Mis,Dis,Rec,PrgR,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,CrdY,CrdR,2CrdY,Fls,Fld,Offsd,PKwon,PKcon,OG,Recov,Won_AD,Lost_AD,Won%
0,Bruno Fernandes,pt POR,"MF,FW",28-181,38.9,7,93,30,32.3,2.39,0.77,0.06,0.2,20.0,4.0,1,1,7.6,6.8,0.1,-2.6,-2.8,1180.0,1584.0,74.5,19932.0,6424.0,623.0,721.0,86.4,377.0,486.0,77.6,139.0,245.0,56.7,9,12.5,9.2,-3.5,88.0,114.0,68.0,10.0,194.0,1439.0,136.0,24.0,19.0,30.0,157,21.0,55.0,17.0,17.0,1.0,9.0,53.0,165.0,5.3,131.0,14.0,5.0,9.0,6.0,0.0,17.0,0.55,16.0,0.0,0.0,1.0,0.0,0.0,63.0,47,22.0,24.0,17.0,27.0,63.0,42.9,36.0,32.0,2.0,30.0,26,85,42.0,0.0,1905.0,61.0,280.0,761.0,886.0,127.0,1904.0,49.0,22.0,44.9,21.0,42.9,1097.0,4928.0,2489.0,67.0,50.0,20.0,36.0,40.0,1318.0,205.0,40,3500.0,88.0,92.6,39,89.0,35,1,45.0,0,2.3,74.0,41.0,33.0,0.85,1.17,53.7,36.0,17.7,0.57,0.16,9,0,0,42,43,14,0.0,1.0,0,190.0,16.0,38.0,29.6
1,David de Gea,es ESP,GK,32-121,38.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,746.0,1016.0,73.4,18740.0,13504.0,187.0,187.0,100.0,342.0,347.0,98.6,211.0,470.0,44.9,0,0.1,0.0,-0.1,1.0,4.0,1.0,0.0,0.0,808.0,202.0,45.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.12,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11.0,2.0,1082.0,909.0,1077.0,5.0,0.0,0.0,1082.0,0.0,0.0,0.0,0.0,0.0,645.0,2900.0,1821.0,0.0,0.0,0.0,0.0,0.0,637.0,0.0,38,3420.0,90.0,90.5,38,90.0,38,0,0.0,4,2.19,69.0,44.0,25.0,0.66,0.66,56.1,37.6,18.5,0.56,0.0,2,0,0,0,3,0,0.0,0.0,0,25.0,4.0,0.0,100.0
2,Marcus Rashford,eng ENG,FW,25-128,33.2,25,114,55,48.2,3.44,1.66,0.21,0.44,15.7,4.0,1,1,13.9,13.9,0.15,4.1,4.1,534.0,704.0,75.9,7619.0,1736.0,349.0,415.0,84.1,126.0,159.0,79.2,33.0,54.0,61.1,7,3.4,2.9,3.6,28.0,27.0,38.0,2.0,66.0,680.0,20.0,0.0,5.0,5.0,27,9.0,0.0,0.0,0.0,0.0,4.0,29.0,77.0,2.86,51.0,0.0,13.0,8.0,4.0,1.0,9.0,0.33,6.0,0.0,2.0,0.0,1.0,0.0,23.0,14,9.0,8.0,6.0,12.0,24.0,50.0,12.0,30.0,3.0,27.0,6,28,7.0,0.0,1051.0,13.0,83.0,363.0,623.0,164.0,1051.0,113.0,38.0,33.6,59.0,52.2,659.0,4035.0,1937.0,75.0,43.0,48.0,70.0,33.0,800.0,213.0,40,2984.0,75.0,78.9,32,85.0,16,8,35.0,0,2.3,69.0,38.0,31.0,0.93,0.71,46.0,31.5,14.5,0.54,-0.11,2,0,0,14,31,15,0.0,0.0,0,87.0,20.0,33.0,37.7
3,Luke Shaw,eng ENG,DF,27-239,27.1,1,10,4,40.0,0.37,0.15,0.1,0.25,18.7,1.0,0,0,0.7,0.7,0.08,0.3,0.3,1374.0,1682.0,81.7,21054.0,7980.0,785.0,863.0,91.0,473.0,558.0,84.8,83.0,163.0,50.9,4,3.2,3.1,0.8,28.0,131.0,31.0,11.0,116.0,1424.0,250.0,37.0,3.0,11.0,91,182.0,21.0,14.0,4.0,0.0,8.0,36.0,56.0,2.35,43.0,8.0,1.0,1.0,3.0,0.0,7.0,0.29,7.0,0.0,0.0,0.0,0.0,0.0,42.0,24,24.0,14.0,4.0,24.0,33.0,72.7,9.0,38.0,11.0,27.0,36,71,44.0,2.0,1923.0,127.0,606.0,881.0,453.0,24.0,1923.0,28.0,11.0,39.3,14.0,50.0,1052.0,5299.0,2851.0,61.0,44.0,4.0,22.0,8.0,1161.0,77.0,32,2436.0,76.0,64.4,26,86.0,22,6,32.0,5,2.12,52.0,34.0,18.0,0.67,0.53,40.5,28.1,12.4,0.52,-0.14,6,0,0,38,23,0,0.0,0.0,0,150.0,34.0,26.0,56.7
4,Diogo Dalot,pt POR,DF,23-355,26.0,1,22,6,27.3,0.85,0.23,0.05,0.17,18.5,0.0,0,0,1.9,1.9,0.1,-0.9,-0.9,1081.0,1363.0,79.3,19651.0,6204.0,456.0,510.0,89.4,493.0,586.0,84.1,115.0,203.0,56.7,2,2.7,2.3,-0.7,37.0,93.0,35.0,14.0,98.0,1147.0,211.0,18.0,3.0,25.0,51,193.0,0.0,0.0,0.0,0.0,5.0,32.0,59.0,2.67,53.0,0.0,2.0,2.0,1.0,1.0,4.0,0.18,3.0,0.0,0.0,0.0,1.0,0.0,55.0,40,40.0,15.0,0.0,33.0,44.0,75.0,11.0,29.0,8.0,21.0,38,89,42.0,1.0,1595.0,96.0,537.0,670.0,399.0,41.0,1595.0,35.0,19.0,54.3,11.0,31.4,850.0,4165.0,2218.0,52.0,28.0,15.0,22.0,7.0,943.0,82.0,30,2337.0,78.0,61.8,28,82.0,20,2,23.0,2,2.2,46.0,34.0,12.0,0.46,-0.22,35.8,25.0,10.8,0.49,-0.22,7,0,0,25,5,0,1.0,0.0,1,143.0,36.0,19.0,65.5
5,Raphaël Varane,fr FRA,DF,29-317,21.3,0,6,2,33.3,0.28,0.09,0.0,0.0,9.1,0.0,0,0,0.6,0.6,0.11,-0.6,-0.6,846.0,983.0,86.1,15866.0,5097.0,282.0,317.0,89.0,489.0,530.0,92.3,63.0,112.0,56.3,0,0.2,0.4,-0.2,4.0,73.0,4.0,0.0,60.0,954.0,26.0,24.0,0.0,5.0,1,2.0,0.0,0.0,0.0,0.0,3.0,4.0,14.0,0.76,10.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12,18.0,5.0,0.0,6.0,15.0,40.0,9.0,21.0,12.0,9.0,14,35,83.0,0.0,1151.0,138.0,547.0,565.0,44.0,15.0,1151.0,6.0,4.0,66.7,2.0,33.3,707.0,4893.0,2921.0,16.0,15.0,0.0,3.0,1.0,743.0,2.0,25,1919.0,77.0,50.8,22,85.0,17,3,16.0,8,2.12,35.0,24.0,11.0,0.52,0.03,27.3,21.7,5.6,0.31,-0.58,2,0,0,11,6,2,0.0,0.0,1,102.0,36.0,12.0,75.0
6,Fred,br BRA,MF,30-003,18.8,6,41,11,26.8,2.18,0.58,0.15,0.55,19.7,0.0,0,0,2.7,2.7,0.08,0.3,0.3,616.0,768.0,80.2,9506.0,2714.0,342.0,390.0,87.7,191.0,225.0,84.9,52.0,79.0,65.8,3,2.3,1.5,0.7,27.0,61.0,11.0,4.0,72.0,752.0,13.0,8.0,6.0,2.0,20,2.0,0.0,0.0,0.0,0.0,3.0,26.0,52.0,3.51,40.0,0.0,0.0,7.0,3.0,2.0,6.0,0.41,4.0,0.0,0.0,2.0,0.0,0.0,52.0,33,26.0,19.0,7.0,14.0,40.0,35.0,26.0,36.0,1.0,35.0,27,71,15.0,1.0,1001.0,37.0,237.0,466.0,307.0,35.0,1001.0,21.0,8.0,38.1,10.0,47.6,549.0,2007.0,974.0,12.0,19.0,3.0,33.0,15.0,607.0,52.0,37,1695.0,46.0,44.8,18,76.0,10,19,17.0,5,2.24,36.0,26.0,10.0,0.53,-0.03,27.9,20.2,7.6,0.52,-0.08,8,0,0,44,26,0,0.0,0.0,0,118.0,10.0,11.0,47.6
7,Victor Lindelöf,se SWE,DF,28-234,15.4,0,2,0,0.0,0.13,0.0,0.0,0.0,13.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,677.0,725.0,93.4,11955.0,3868.0,261.0,273.0,95.6,357.0,372.0,96.0,46.0,63.0,73.0,0,0.0,0.2,0.0,0.0,58.0,2.0,0.0,51.0,706.0,19.0,11.0,0.0,1.0,0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.38,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,12.0,11,6.0,5.0,1.0,8.0,10.0,80.0,2.0,7.0,4.0,3.0,13,23,40.0,0.0,810.0,74.0,330.0,432.0,49.0,1.0,810.0,1.0,0.0,0.0,1.0,100.0,524.0,2468.0,1297.0,7.0,9.0,0.0,3.0,3.0,585.0,2.0,20,1383.0,69.0,36.6,15,85.0,11,5,21.0,15,2.35,34.0,16.0,18.0,1.17,1.06,24.5,10.0,14.5,1.36,1.19,0,0,0,5,2,0,0.0,0.0,0,53.0,26.0,10.0,72.2
8,Scott McTominay,sct SCO,MF,26-090,14.3,2,17,7,41.2,1.19,0.49,0.12,0.29,15.1,0.0,0,0,1.5,1.5,0.13,-0.5,-0.5,319.0,386.0,82.6,4925.0,1395.0,171.0,198.0,86.4,116.0,135.0,85.9,21.0,33.0,63.6,1,0.2,0.6,0.8,3.0,30.0,2.0,0.0,29.0,380.0,5.0,3.0,1.0,4.0,3,2.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,1.62,12.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26,13.0,10.0,4.0,10.0,18.0,55.6,8.0,9.0,3.0,6.0,13,37,34.0,1.0,531.0,52.0,163.0,259.0,112.0,19.0,531.0,18.0,10.0,55.6,6.0,33.3,265.0,1108.0,508.0,9.0,11.0,1.0,20.0,10.0,312.0,25.0,29,1290.0,44.0,34.1,12,79.0,8,17,20.0,4,2.34,30.0,21.0,9.0,0.63,0.16,16.3,17.5,-1.2,-0.12,-0.99,8,0,0,27,10,2,0.0,1.0,0,57.0,26.0,17.0,60.5
9,Aaron Wan-Bissaka,eng ENG,DF,25-102,13.9,0,3,1,33.3,0.22,0.07,0.0,0.0,20.9,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,360.0,442.0,81.4,4994.0,1869.0,235.0,256.0,91.8,95.0,123.0,77.2,16.0,27.0,59.3,1,0.9,0.9,0.1,9.0,29.0,6.0,3.0,30.0,375.0,66.0,3.0,0.0,2.0,20,63.0,0.0,0.0,0.0,0.0,1.0,13.0,19.0,2.12,18.0,0.0,1.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,21.0,24,13.0,8.0,0.0,11.0,13.0,84.6,2.0,11.0,1.0,10.0,21,36,24.0,1.0,545.0,35.0,172.0,222.0,154.0,17.0,545.0,21.0,10.0,47.6,11.0,52.4,282.0,1463.0,826.0,25.0,15.0,6.0,11.0,5.0,305.0,28.0,18,1248.0,69.0,33.0,13,85.0,9,5,29.0,8,2.61,30.0,10.0,20.0,1.44,1.26,16.3,10.2,6.1,0.68,0.17,0,0,0,10,8,0,0.0,0.0,0,46.0,5.0,8.0,38.5
10,Jadon Sancho,eng ENG,"FW,MF",22-348,13.5,5,18,7,38.9,1.33,0.52,0.28,0.71,14.3,0.0,0,0,3.2,3.2,0.18,1.8,1.8,439.0,523.0,83.9,5450.0,1147.0,300.0,337.0,89.0,105.0,122.0,86.1,12.0,21.0,57.1,1,2.5,2.6,-1.5,30.0,11.0,28.0,0.0,49.0,511.0,12.0,0.0,1.0,1.0,11,12.0,0.0,0.0,0.0,0.0,0.0,13.0,60.0,4.56,53.0,0.0,5.0,2.0,0.0,0.0,10.0,0.76,6.0,0.0,3.0,1.0,0.0,0.0,10.0,7,4.0,3.0,3.0,5.0,14.0,35.7,9.0,11.0,0.0,11.0,6,16,3.0,0.0,648.0,4.0,66.0,223.0,367.0,71.0,648.0,44.0,16.0,36.4,24.0,54.5,445.0,2404.0,1289.0,54.0,21.0,31.0,37.0,12.0,484.0,108.0,21,1219.0,58.0,34.7,15,70.0,2,6,27.0,5,2.05,22.0,16.0,6.0,0.44,0.05,20.6,15.5,5.1,0.39,-0.29,0,0,0,4,7,5,0.0,0.0,0,69.0,4.0,9.0,30.8
11,Cristiano Ronaldo,pt POR,FW,38-031,11.7,3,55,12,21.8,4.69,1.02,0.04,0.17,16.5,4.0,1,1,6.6,5.9,0.11,-3.6,-3.9,270.0,340.0,79.4,3297.0,575.0,186.0,213.0,87.3,60.0,78.0,76.9,8.0,14.0,57.1,2,2.2,0.8,-0.2,12.0,19.0,8.0,0.0,35.0,327.0,12.0,0.0,2.0,4.0,8,2.0,0.0,0.0,0.0,0.0,1.0,15.0,26.0,2.22,20.0,0.0,0.0,3.0,3.0,0.0,3.0,0.26,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3,1.0,1.0,1.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,1,4,10.0,0.0,464.0,11.0,35.0,170.0,261.0,73.0,463.0,20.0,6.0,30.0,10.0,50.0,241.0,976.0,545.0,17.0,11.0,9.0,20.0,7.0,378.0,88.0,16,1055.0,66.0,35.5,10,87.0,8,6,31.0,2,2.13,16.0,11.0,5.0,0.43,0.0,19.1,9.6,9.5,0.81,0.39,3,0,0,13,12,13,0.0,0.0,0,19.0,25.0,20.0,55.6
12,Alejandro Garnacho,es ESP,"FW,MF",18-250,11.7,4,34,13,38.2,2.9,1.11,0.12,0.31,16.4,0.0,0,0,2.5,2.5,0.11,0.5,0.5,175.0,219.0,79.9,2084.0,195.0,130.0,151.0,86.1,35.0,39.0,89.7,3.0,6.0,50.0,4,1.0,1.0,3.0,4.0,1.0,3.0,0.0,8.0,219.0,0.0,0.0,0.0,1.0,14,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,2.63,13.0,0.0,2.0,2.0,2.0,0.0,4.0,0.55,4.0,0.0,0.0,0.0,0.0,0.0,5.0,5,2.0,0.0,3.0,2.0,9.0,22.2,7.0,8.0,0.0,8.0,9,12,3.0,0.0,346.0,6.0,37.0,87.0,226.0,56.0,346.0,45.0,13.0,28.9,25.0,55.6,247.0,2022.0,1101.0,42.0,25.0,29.0,28.0,13.0,267.0,98.0,28,1055.0,38.0,27.9,10,67.0,1,18,21.0,11,2.25,27.0,13.0,14.0,1.19,0.86,13.3,7.3,6.0,0.83,0.34,3,0,0,10,21,7,0.0,0.0,0,23.0,2.0,12.0,14.3
13,Harry Maguire,eng ENG,DF,30-003,11.2,0,3,1,33.3,0.27,0.09,0.0,0.0,7.2,0.0,0,0,0.3,0.3,0.16,-0.3,-0.3,428.0,493.0,86.8,8652.0,2425.0,137.0,142.0,96.5,222.0,249.0,89.2,63.0,90.0,70.0,0,0.4,0.1,-0.4,3.0,31.0,0.0,0.0,21.0,484.0,8.0,8.0,0.0,8.0,1,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.86,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4,4.0,1.0,1.0,3.0,4.0,75.0,1.0,16.0,10.0,6.0,13,14,27.0,0.0,561.0,56.0,271.0,258.0,35.0,6.0,561.0,2.0,1.0,50.0,1.0,50.0,352.0,2028.0,1299.0,6.0,7.0,0.0,1.0,0.0,399.0,3.0,21,1007.0,48.0,26.6,10,90.0,10,11,10.0,11,2.57,24.0,11.0,13.0,1.16,0.8,9.9,8.2,1.7,0.25,-0.4,7,0,0,15,4,0,0.0,0.0,0,39.0,16.0,16.0,50.0
14,Anthony Martial,fr FRA,FW,27-093,8.0,6,19,11,57.9,2.38,1.38,0.26,0.45,13.6,0.0,1,1,3.2,2.5,0.2,0.8,0.5,118.0,147.0,80.3,1468.0,439.0,75.0,85.0,88.2,34.0,40.0,85.0,2.0,6.0,33.3,2,0.9,0.9,1.1,5.0,10.0,5.0,0.0,17.0,136.0,9.0,2.0,3.0,0.0,4,2.0,0.0,0.0,0.0,0.0,2.0,6.0,11.0,2.03,9.0,0.0,1.0,0.0,1.0,0.0,4.0,0.74,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,1,1,2.0,0.0,190.0,3.0,5.0,74.0,111.0,24.0,189.0,10.0,4.0,40.0,5.0,50.0,118.0,489.0,219.0,7.0,6.0,4.0,16.0,4.0,161.0,33.0,14,718.0,51.0,19.0,9,62.0,0,5,32.0,0,2.57,19.0,9.0,10.0,1.25,1.02,11.8,4.9,6.9,1.27,0.85,0,0,0,5,4,8,1.0,0.0,0,5.0,5.0,3.0,62.5
15,Anthony Elanga,se SWE,FW,20-315,7.3,0,14,4,28.6,1.91,0.54,0.0,0.0,14.3,0.0,0,0,0.8,0.8,0.06,-0.8,-0.8,115.0,159.0,72.3,1426.0,334.0,79.0,105.0,75.2,28.0,39.0,71.8,3.0,3.0,100.0,2,1.0,1.1,1.0,8.0,3.0,3.0,0.0,8.0,155.0,4.0,0.0,1.0,1.0,8,3.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,4.09,15.0,0.0,2.0,4.0,1.0,1.0,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2,0.0,4.0,2.0,2.0,4.0,50.0,2.0,4.0,0.0,4.0,3,9,4.0,0.0,236.0,5.0,29.0,84.0,124.0,35.0,236.0,19.0,9.0,47.4,7.0,36.8,145.0,848.0,370.0,15.0,4.0,10.0,15.0,9.0,168.0,38.0,23,661.0,29.0,17.5,7,64.0,0,16,13.0,16,2.26,13.0,3.0,10.0,1.36,1.1,10.1,5.8,4.2,0.75,0.23,0,0,0,6,10,4,0.0,0.0,0,22.0,9.0,13.0,40.9
16,Donny van de Beek,nl NED,MF,25-324,3.3,0,3,0,0.0,0.91,0.0,0.0,0.0,8.8,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,65.0,86.0,75.6,759.0,200.0,44.0,48.0,91.7,12.0,14.0,85.7,2.0,3.0,66.7,0,0.1,0.2,-0.1,3.0,2.0,4.0,0.0,8.0,80.0,4.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,2.67,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,1,2,1.0,0.0,102.0,1.0,7.0,38.0,57.0,13.0,102.0,2.0,1.0,50.0,1.0,50.0,58.0,208.0,94.0,3.0,4.0,0.0,3.0,3.0,76.0,26.0,10,297.0,30.0,8.5,4,57.0,0,6,12.0,5,2.1,6.0,5.0,1.0,0.3,-0.03,4.2,2.2,2.0,0.78,0.23,0,0,0,5,2,2,0.0,0.0,0,8.0,4.0,4.0,50.0
